plasmid,description,avg_enrichment_d2,composition,character,Citrine On,mCitrine-A,bprime,lambda,sigma_on,sigma_off,mu_off,date,f_on,mfi
78,RANDCTRL - RANDCTRL,-1.852399333543794,C-C,Control,0.0076340100680422,2275942.4028323283,0.07794067256241,1.0000000000000004e-05,1.139063290988208,0.1473317436782147,6.263473473814591,2021/11/15,0.0045904807924619,2039563.4114520412
78,RANDCTRL - RANDCTRL,-1.852399333543794,C-C,Control,0.0076340100680422,2275942.4028323283,0.07794067256241,1.0000000000000004e-05,1.139063290988208,0.1473317436782147,6.263473473814591,2022/03/03,0.0033744537257288,2275942.4028323283
78,Ctrl - Ctrl,-1.852399333543794,C-C,Control,0.0076340100680422,2275942.4028323283,0.0935861892639391,1.0000017947038023e-05,0.3246121245706166,0.1270468414098023,6.312176313999727,2021/11/15,0.0045904807924619,2039563.4114520412
78,Ctrl - Ctrl,-1.852399333543794,C-C,Control,0.0076340100680422,2275942.4028323283,0.0935861892639391,1.0000017947038023e-05,0.3246121245706166,0.1270468414098023,6.312176313999727,2022/03/03,0.0033744537257288,2275942.4028323283
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.5202108788286685,972.0642650000674,0.8129828140506385,0.2463940586988665,6.26659059834076,2021/11/15,0.938076416337286,266106016.37944663
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.5202108788286685,972.0642650000674,0.8129828140506385,0.2463940586988665,6.26659059834076,2022/03/03,0.95937044593413,431292717.3801224
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.5202108788286685,972.0642650000674,0.8129828140506385,0.2463940586988665,6.26659059834076,2022/08/24,0.9300530631934396,362953733.433671
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.8277394301605071,1230.6123577985288,0.5197676842396989,0.4310115827990876,7.499999999999999,2021/11/15,0.938076416337286,266106016.37944663
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.8277394301605071,1230.6123577985288,0.5197676842396989,0.4310115827990876,7.499999999999999,2022/03/03,0.95937044593413,431292717.3801224
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.8277394301605071,1230.6123577985288,0.5197676842396989,0.4310115827990876,7.499999999999999,2022/08/24,0.9300530631934396,362953733.433671
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.517093086602553,1312.2016957858782,0.3840084618902813,0.5447970876424002,7.499999999999999,2021/11/15,0.938076416337286,266106016.37944663
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.517093086602553,1312.2016957858782,0.3840084618902813,0.5447970876424002,7.499999999999999,2022/03/03,0.95937044593413,431292717.3801224
79,ANM2 - KIBRA,5.136019617051213,A-A,Activator,0.9684640046633636,431292717.3801224,0.517093086602553,1312.2016957858782,0.3840084618902813,0.5447970876424002,7.499999999999999,2022/08/24,0.9300530631934396,362953733.433671
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.4110023935953736,732.6001861483445,0.5764599603057075,0.2309710887211573,6.272092982823621,2021/11/15,0.6333740997418128,56986164.70281288
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.4110023935953736,732.6001861483445,0.5764599603057075,0.2309710887211573,6.272092982823621,2022/03/03,0.4435598617792533,40825770.062470354
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.4110023935953736,732.6001861483445,0.5764599603057075,0.2309710887211573,6.272092982823621,2022/08/24,0.5454705675008812,50286457.435319
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.4633049087117871,739.2485508428339,0.5227509165942766,0.263538349261064,6.436884320565478,2021/11/15,0.6333740997418128,56986164.70281288
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.4633049087117871,739.2485508428339,0.5227509165942766,0.263538349261064,6.436884320565478,2022/03/03,0.4435598617792533,40825770.062470354
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.4633049087117871,739.2485508428339,0.5227509165942766,0.263538349261064,6.436884320565478,2022/08/24,0.5454705675008812,50286457.435319
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.5429604968059395,757.4918971698623,0.4837161908352417,0.2623984452729453,6.3996986294577205,2021/11/15,0.6333740997418128,56986164.70281288
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.5429604968059395,757.4918971698623,0.4837161908352417,0.2623984452729453,6.3996986294577205,2022/03/03,0.4435598617792533,40825770.062470354
80,BIN1 - FOXO3,3.090095541387875,R-A,Both,0.4786232129548072,40825770.062470354,0.5429604968059395,757.4918971698623,0.4837161908352417,0.2623984452729453,6.3996986294577205,2022/08/24,0.5454705675008812,50286457.435319
90,NOTC2 - ANM2,4.922436350745162,A-A,Activator,0.934331864904552,385197504.65033776,0.4660949432668981,1098.954669392314,0.6286320570174194,0.2557023853315323,6.24151669858195,2021/11/15,0.92152466367713,301428263.7819938
90,NOTC2 - ANM2,4.922436350745162,A-A,Activator,0.934331864904552,385197504.65033776,0.4660949432668981,1098.954669392314,0.6286320570174194,0.2557023853315323,6.24151669858195,2022/03/03,0.9217621145374448,385197504.65033776
90,NOTC2 - ANM2,4.922436350745162,A-A,Activator,0.934331864904552,385197504.65033776,0.8011951556351485,1228.6040163954551,0.4821077157451133,0.7308557921767457,7.316070640382745,2021/11/15,0.92152466367713,301428263.7819938
90,NOTC2 - ANM2,4.922436350745162,A-A,Activator,0.934331864904552,385197504.65033776,0.8011951556351485,1228.6040163954551,0.4821077157451133,0.7308557921767457,7.316070640382745,2022/03/03,0.9217621145374448,385197504.65033776
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.3416481896080096,64.0286119643599,0.7006005180625822,0.1804376633309581,6.252267125364025,2021/11/15,0.2363235675395385,22699929.22167488
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.3416481896080096,64.0286119643599,0.7006005180625822,0.1804376633309581,6.252267125364025,2022/03/03,0.1395628415300546,20968778.30994536
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.3416481896080096,64.0286119643599,0.7006005180625822,0.1804376633309581,6.252267125364025,2022/08/24,0.1184752003465453,16220727.114576563
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.2866795612259076,204.67947522978045,0.7768162661004812,0.1775905023931963,6.319596186800311,2021/11/15,0.2363235675395385,22699929.22167488
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.2866795612259076,204.67947522978045,0.7768162661004812,0.1775905023931963,6.319596186800311,2022/03/03,0.1395628415300546,20968778.30994536
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.2866795612259076,204.67947522978045,0.7768162661004812,0.1775905023931963,6.319596186800311,2022/08/24,0.1184752003465453,16220727.114576563
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.2714237146542755,81.76788670473384,0.6616466153387552,0.1711895896731231,6.297044477720984,2021/11/15,0.2363235675395385,22699929.22167488
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.2714237146542755,81.76788670473384,0.6616466153387552,0.1711895896731231,6.297044477720984,2022/03/03,0.1395628415300546,20968778.30994536
91,NOTC2 - KIBRA,1.4670413726295215,A-A,Activator,0.1586885245901639,20968778.30994536,0.2714237146542755,81.76788670473384,0.6616466153387552,0.1711895896731231,6.297044477720984,2022/08/24,0.1184752003465453,16220727.114576563
92,SMCA2 - U2AF4,3.5053923881414883,A-A,Activator,0.6196655132641292,97931028.0046136,0.46464209840664,593.8042241963227,0.8383718582487453,0.2156846803031432,6.283080842478952,2021/11/15,0.6772024209818427,74897241.79798251
92,SMCA2 - U2AF4,3.5053923881414883,A-A,Activator,0.6196655132641292,97931028.0046136,0.46464209840664,593.8042241963227,0.8383718582487453,0.2156846803031432,6.283080842478952,2022/03/03,0.5775663206459054,97931028.0046136
92,SMCA2 - U2AF4,3.5053923881414883,A-A,Activator,0.6196655132641292,97931028.0046136,0.4792244780025563,968.9874753770492,0.4787657433203769,0.3595025750413169,6.628314546827332,2021/11/15,0.6772024209818427,74897241.79798251
92,SMCA2 - U2AF4,3.5053923881414883,A-A,Activator,0.6196655132641292,97931028.0046136,0.4792244780025563,968.9874753770492,0.4787657433203769,0.3595025750413169,6.628314546827332,2022/03/03,0.5775663206459054,97931028.0046136
125,BTK - ABL1,4.5881016250361215,A-A,Activator,0.6110033931168202,102905794.69898206,0.5008403840089982,971.4494736689908,0.5462754554099825,0.3599899032642673,6.561181377927693,2022/03/03,0.5717401841977703,102905794.69898206
126,U2AF4 - BTK,4.502125156204624,A-A,Activator,0.896448615327997,302327120.8817738,0.7634403721892699,1162.6442114688969,0.4337880985043427,0.6780861935502238,6.956563235560172,2022/03/03,0.8818198546324408,302327120.8817738
127,BTK - WWP2,3.744941473322093,A-A,Activator,0.8713636576568136,144903239.95390454,0.8688757518171405,860.0328964927115,0.5712772713899152,0.2951307507212227,6.620578047379314,2022/03/03,0.8441935634983838,144903239.95390454
129,BTK - Ctrl,-0.3891612582464351,A-C,Activator,0.1046629046629046,4028979.990733591,0.6203482637188508,60.097822044740525,0.2597434476959635,0.1325170395964371,6.351872197160013,2022/03/03,0.0535194535194535,4028979.990733591
130,Ctrl - ABL1,-1.3824630056169802,C-A,Activator,0.0063591449395881,2397182.973144842,0.0800532220246671,1.0000002141681158e-05,0.3335183163263742,0.1288795487980009,6.3187936886170135,2022/03/03,0.0034241549674705,2397182.973144842
131,U2AF4 - Ctrl,-1.3032820173380038,A-C,Activator,0.0108426050598823,2321802.676493516,0.1069018366876423,1.0000000000386322e-05,0.3593967925030806,0.1298371787173314,6.312026198223333,2022/03/03,0.0052441357805966,2321802.676493516
133,MYBA - Ctrl,2.256576020153396,A-C,Activator,0.6574435461388347,49730918.7175913,0.6564395497085226,707.8042059170683,0.4773110147040645,0.2588659039942211,6.470138915036336,2022/03/03,0.6216197379425704,49730918.7175913
134,MYBA - ZN473,1.6889796833838289,A-A,Activator,0.3152941176470588,19953002.188482974,0.4313342382355224,375.0831061341657,0.6817327181506049,0.2394362986861902,6.37909494787175,2022/03/03,0.2679256965944272,19953002.188482974
134,MYBA - ZN473,1.6889796833838289,A-A,Activator,0.3152941176470588,19953002.188482974,0.4313342382355224,375.0831061341657,0.6817327181506049,0.2394362986861902,6.37909494787175,2022/08/24,0.3278032036613272,23787450.727688786
134,MYBA - ZN473,1.6889796833838289,A-A,Activator,0.3152941176470588,19953002.188482974,0.4970061947347734,379.0027493757132,0.7368796968851119,0.2334669763898449,6.353125464239877,2022/03/03,0.2679256965944272,19953002.188482974
134,MYBA - ZN473,1.6889796833838289,A-A,Activator,0.3152941176470588,19953002.188482974,0.4970061947347734,379.0027493757132,0.7368796968851119,0.2334669763898449,6.353125464239877,2022/08/24,0.3278032036613272,23787450.727688786
135,Ctrl - ZN473,-1.6626524364215518,C-A,Activator,0.0379218175743401,3141384.7813787726,0.2029548092047152,1.0000000156065408e-05,0.3358080690816042,0.1324332499156661,6.3409789573110364,2022/03/03,0.0273415747856108,3141384.7813787726
136,ANM2 - Ctrl,-1.1374517886192814,A-C,Activator,0.0072857495677945,2300829.905655717,0.1121927350893631,1.0000000014012968e-05,0.332695828889592,0.1257629242032876,6.318724168987245,2022/03/03,0.0032106693010619,2300829.905655717
138,KIBRA - Ctrl,-0.9048309492984768,A-C,Activator,0.0058600482592209,2317403.642881765,0.0877646658500386,1.0000076334534618e-05,0.2795720988504704,0.1284980493502138,6.318473941292326,2022/03/03,0.0024704125014362,2317403.642881765
141,BIN1 - Ctrl,-1.2296619846764756,R-C,Repressor,0.0084186894906692,2343906.426079229,0.1337070595343773,1.0000000000017858e-05,0.2547536264051577,0.1286374734196948,6.312084882633414,2022/03/03,0.0044431972311865,2343906.426079229
142,Ctrl - FOXO3,1.433140260721649,C-A,Activator,0.2059281696235396,15301825.013587192,0.3068268032781018,335.49624756914994,0.7156126972577037,0.1847106356482357,6.369181997734178,2022/03/03,0.1795326698398961,15301825.013587192
144,MYB only,1.1203169902798096,A-C,Activator,0.2999243888095438,10043810.637318322,0.4589125573167549,915.6018140569452,0.4765340282264234,0.2574437075103721,6.241111559208039,2022/03/03,0.2501050155423002,10043810.637318322
144,SMCA2 - Ctrl,1.1203169902798096,A-C,Activator,0.2999243888095438,10043810.637318322,0.5126293393638606,264.1381464839489,0.4784748661458546,0.1661089804503619,6.400130210727712,2022/03/03,0.2501050155423002,10043810.637318322
157,NOTC2 - Ctrl,-1.2963383044914143,A-C,Activator,0.003392868574355,2289893.074194994,0.0592314067482353,1.00000000012814e-05,0.3123976176046089,0.1284623703717214,6.326338861510772,2022/03/03,0.0014723769284936,2289893.074194994
